series_id,baseline_rmsse,global_rmsse,tft_rmsse,tft_vs_global_gain,best_model,tft_beats_global
FOODS_3_090_CA_1,1.3847160991227108,1.5964501234085893,0.3314168044939629,1.2650333189146263,TFT,True
FOODS_3_090_CA_2,1.391616383443215,1.4871714732534986,0.7519880820399983,0.7351833912135003,TFT,True
FOODS_3_090_CA_3,1.302483211549352,3.631295992719824,0.3480539376884418,3.283242055031382,TFT,True
FOODS_3_090_CA_4,1.327194272046389,0.8949940903735983,0.4238144782387856,0.47117961213481274,TFT,True
FOODS_3_090_TX_1,1.4311280070326005,1.230659215647229,0.3483428357296964,0.8823163799175325,TFT,True
FOODS_3_090_TX_2,1.377291655961837,1.6578004407908438,0.27650925104402024,1.3812911897468236,TFT,True
FOODS_3_090_TX_3,1.3546929346919638,1.3009566920400195,0.3512095196352625,0.949747172404757,TFT,True
FOODS_3_090_WI_1,1.5004450015089694,0.7467236099767256,0.40282272411387654,0.34390088586284906,TFT,True
FOODS_3_090_WI_2,1.5519825811461585,0.9107772000701015,0.5934921076661805,0.317285092403921,TFT,True
FOODS_3_090_WI_3,1.5333933340471648,2.145959110378812,0.33433649710036717,1.8116226132784448,TFT,True
FOODS_3_099_CA_1,1.213721476233158,0.6664899717109075,0.6162892153380216,0.0502007563728859,TFT,True
FOODS_3_099_CA_3,1.070860586812039,0.4423752125261364,0.5175019321614235,-0.07512671963528711,Global,False
FOODS_3_099_CA_4,0.963949337313312,0.7982773256922685,0.8586318660929679,-0.06035454040069943,Global,False
FOODS_3_099_TX_1,0.9679670248050818,0.5580633270836368,0.6497539956226803,-0.09169066853904351,Global,False
FOODS_3_099_TX_2,1.450421408287342,0.8214814666936224,1.4011501537893822,-0.5796686870957598,Global,False
FOODS_3_099_TX_3,1.1537100532224371,0.6473217057766256,1.108391054032096,-0.4610693482554704,Global,False
FOODS_3_099_WI_2,1.0681933659429932,0.6656988237117196,0.6940686364157228,-0.028369812704003183,Global,False
FOODS_3_099_WI_3,1.0470890126993264,0.8852935173942431,1.036725291492821,-0.151431774098578,Global,False
FOODS_3_107_CA_3,4.171920166891725,0.6442679801369549,0.7743190220594725,-0.1300510419225176,Global,False
FOODS_3_109_CA_3,0.8953870246694334,0.2667512108628312,0.22764830140951725,0.03910290945331396,TFT,True
FOODS_3_109_TX_2,1.0165811659341568,0.2759140088520168,0.2407341847223833,0.03517982412963347,TFT,True
FOODS_3_109_TX_3,1.3243015713758528,0.5949528221015645,0.7846918465951631,-0.18973902449359858,Global,False
FOODS_3_109_WI_2,1.2580064083653266,0.6161943673897163,0.6525145474706395,-0.03632018008092319,Global,False
